Review	Original	Predicted	NIST	BLEU	METEOR
tv com ótimo custo benefício . ótimo som e excelente imagem . bonito design e também econômica , conforme a classificação a do inmetro .	produto muito bom .	ótimo custo	0.0	0	0.0
custo benefício bons , não tive nenhum problema , tanto na entrega quanto com o produto .	muito bom	goste do	0.0	0	0.0
comprei o desse anúncio com o selo work with gopro , mas recebi um mais simples para mobile que é até mais barato na concorrência mesmo sendo de velocidade alta como o que está no anúncio não é o mesmo é possui tratamentos diferentes para uso extreme .	recebi diferente do comprado	não é o que	0.0	0	0.0
atendeu às expectativas envio dentro do prazo sem problemas	gostei	goste muito	0.0	0	0.0
comprei e não recebi o produto ! minha a avaliação vai para a americanas que não tem comprometimento com o cliente ! decepcionada !	o produto não foi entregue	não recebi	0.033688423633228826	0.03336574130316504	0.10638297872340426
estou muito feliz pela compra e foi rapido a entrega ta de parabéns .	maravilhoso de mas .	goste muito	0.0	0	0.0
jogo excelente , com gráficos ótimos e jogabilidade muito boa . recomendo a todos .	ótimo	excelente	0.0	0	0.0
foi entregue mas não veio o meu nano usb . o que faco agora	cade o usb nano	não veio o	0.4702928248875754	0.0814136751754278	0.12820512820512822
ótimo custo benefício este aparelho atendeu perfeitamente minhas necessidades	aparelho bom	ótimo custo	0.0	0	0.0
produto muito bom e foi presente para o meu afilhado .	o produto é muito bom	goste muito	0.033688423633228826	0.03336574130316504	0.10638297872340426
não posso falar , porque faz mais de  mês e meio e não chegou meu produto , já estou querendo devolver ele	produto não recebido	não recebi	0.39624062518028896	0.09069748827745895	0.17241379310344826
ótima , mesa de excelente qualidade , pintura , tampo de vidro impecável sem riscos , cadeira linda moderna , um charme esse conjunto .	lindo amei .	linda mesa	0.0	0	0.0
notebook bonito , leve , prático e com boa capacidade . chegou um dia antes do prazo de entrega . gostei !	ótima compra !	goste muito	0.0	0	0.0
meu pedido ainda não chegou . ainda não o recebi . e já está com um atraso de  dia seus bando de inresponsavel	péssimo	não recebi	0.0	0	0.0
áudio excelente , ótimo para quem estuda e muito bonito por sinal !	ótimoooooo !	ótimo produto	0.0	0	0.0
sobre a entrega , chegou antes do prazo . o tapete é bonito , mas pouco peludo e um pouco menor do que o esperado . esperava uma qualidade um pouco melhor , no geral pelo preço está ok .	até que gostei !	tape	0.0	0	0.0
muito feliz com o produto ! cadeiras de qualidade e foram entregues bem antes do prazo final .	gostei muito do produto !	excelente produto	0.033688423633228826	0.03336574130316504	0.10638297872340426
dentro do prazo , em perfeito estado de entrega ! agradecido .	otimo	goste muito	0.0	0	0.0
o jogo não é português , e tava falando que era , além disso chegou atrasado e com a capa amassada	não está conforme anúncio	não é português	0.4702928248875754	0.0814136751754278	0.12820512820512822
eu queria saber se ele tem rom global ? eu gostei do aparelho mas não comprei ainda mas pretendo comprar !	rom global	du du	0.0	0	0.0
