Review	Original	Predicted	NIST	BLEU	METEOR
para quem e tem parentes ou amigos que gostam destas músicas antiga destas de carnaval e não tem melhor comprei para minha mãe anos e tanto ela como a família toda adoraram 	muito bom 	 gostei do produto	0.0	0	0.0
atendeu todas minhas expectativas qualidade ótima entrega ótimo antes do prazo nota para o produto e para americanas 	americanas melhor loja 	 excelente	0.0	0	0.0
poderia ser maior principalmente no assento com reforço na fita horizontal porque não dupla 	tamanho 	 bom	0.0	0	0.0
isso é um descaso com o cliente já tem um mês que comprei e nunca chegou já até quebrei meu cartão americanas nunca mais compro aqui 	nunca mais compro nessa loja 	 nao recebi o produto	0.0	0	0.0
o produto atende ao que promete estou muito satisfeito e recomendo 	otimo produto 	 ótimo produto	0.5	0.1495348781221221	0.25
mto pequena não gostei cancelei minha compra mais msm assim veio meu produto não gostei 	não gostei do produto 	 não gostei	0.2638099976421876	0.11633369384516798	0.4934210526315789
gostei do produto veio perfeito só fiquei triste com a que guarda máquina de pontas não veio do vídeo veio uma feltro bem feia até aqui agradeço 	bom 	 gostei do produto	0.0	0	0.0
gostei muito do produto atendeu bem a minha expectativa com relação ao volume e à qualidade a entrega me surpreendeu pela rapidez chegou em menos de h foi uma entrega relâmpago 	qualidade do produto e satisfação pela compra 	 ótimo produto	0.001877468787183873	0.012274570264879268	0.07692307692307691
tem que ficar com o celular muito próximo ao adaptador se se um pouco mais de metro já começa a falhar assim é melhor usar um cabo p pra ouvir música 	falha muito 	 bom custo benefício	0.0	0	0.0
funções básicas rede secundária p acesso de terceiros boa mas sem informações de como configurar falta saber quanto tempo o equipamento vai durar 	bom custo benefício 	 bom	0.00977286494181979	0.024066394763145416	0.17857142857142855
para quem precisa de um aparelho básico e realmente satisfatório 	bom produto gostei bastante 	 bom	0.0006054454407892032	0.008853531856477262	0.13513513513513511
bom produto atingiu minhas expectativas indicaria para outras pessoas 	perfeito 	 gostei muito do produto	0.0	0	0.0
obrigado muito bom recomendo comprar este smartfone 	gostei muito 	 ótimo produto	0.0	0	0.0
um bom dicionário para iniciantes mas peca por não ter a das palavras 	dicionário bonzinho 	 bom	0.0	0	0.0
recomendo a todos produto bom chegou antes do prazo satisfeito indico a todos cumpri o que promete 	prazo 	 ótimo produto	0.0	0	0.0
fui enganado não recebi o produto americanas não entregou reclamei mas não recebi paguei e não recebi 	não recebi o produto 	 não recebi o produto	2.0	1.0	0.9921875
apesar de estar estranhando um pouco o peso o produto é ótimo e prático a única coisa que não gostei foi da tomada que tem os pinos muito grossos 	gostei muito do produto 	 gostei muito	0.2638099976421876	0.11633369384516798	0.4934210526315789
muito boa a recuperação de um filme épico sobre uma guerra real feito há anos ou mais parabéns 	erro 	 livro muito bom	0.0	0	0.0
um produto muito bom veio do jeito que pedi a entrega foi rapida e funciona perfeitamente 	excelente 	 gostei muito do produto	0.0	0	0.0
ótimo produto alisa mesmo meu cabelo é fino e ondulado e alisou bem gostei 	produto bom 	 gostei do produto	0.3333333333333333	0.11362193664674995	0.2380952380952381
a encomenda nao chegou nada a declarar não chegou ta atrasada e nenhuma resposta 	encomenda atrasada nao tem como avaliar 	 não recebi o produto	0.0	0	0.0
como sempre a americanas é excelente empresa seus produtos atendimento e entrega 	excelente produto 	 excelente produto	1.0	0.316227766016838	0.9375
a marca seagate até então vem se apresentando como de otima qualidade portanto teremos que usar o hd externo ao longo dos anos para comprovação se continua com toda a qualidade esperada 	produto recomendado 	 livro muito bom	0.0	0	0.0
livro muito bem escrito com uma história incrível e inspiradora super recomendado 	excelente 	 excelente livro	0.0	0.1495348781221221	0.45454545454545453
adorei atendeu todas as minhas expectativas muito satisfeita 	super indico esses produtos 	 excelente	0.0	0	0.0
no site da reclame aqui só tem reclamacoes deste fabricante que ha mais de um ano nao responde aos clientes que estao com problemas em seus produtos 	fabricante dificil de falar 	 propaganda enganosa	0.0	0	0.0
olá estou decepcionada com a minha mercadoria recebi a cuba amassada e a válvula quebrada acredito que culpa dos correios mas preciso que pelo menos a válvula me mandem novamente pois não tenho como usar a cuba sem ela no aguardo 	avaria 	 não recebi o produto	0.0	0	0.0
recomendo o produto e o vendedor também vale à pena 	muito bom interessante 	 gostei do produto	0.0	0	0.0
o cabo da leiteira é curto para o manuseio e fica muito próximo do corpo da leiteira onde o fogo pode o inicio do cabo o demais tudo bem 		 excelente			
otimo produto bonito confortavel leve gostei muito 	produto de otima qualidade 	 ótimo produto	0.1319049988210938	0.05501080739920602	0.13157894736842105
é um bom produto porém é pesado e meio gordinho dificultando utilizar em algumas partes do carro 	bom mas é pesado 	 bom	0.0006054454407892032	0.008853531856477262	0.13513513513513511
finalizei a compra e ainda nao chegou 	a entrega demora muito 	 não é o que eu esperava	0.0	0	0.0
ele realmente faz uma limpeza do do cabelo do bb ameiiii 	gostei mto 	 amei	0.0	0	0.0
cancelei pois não recebi o produto aguardando reembolso 	não recebi 	 não recebi o produto	0.5	0.16990442448471224	0.8522727272727273
produto bonito e silencioso cumpriu a expectativa 	excelente 	 gostei muito do produto	0.0	0	0.0
excelente produto de acordo com minhas necessidades 	monitor 	 ótimo produto	0.0	0	0.0
a tv é excelente em sua qualidade de imagem e som perfeita 	maravilhosa tv 	 excelente	0.0	0	0.0
celular apresentou alguns defeitos como desconectar as minhas ligações e ruídos durante a ligação menos de um mês de uso e já o para a assistência técnica 	produto apresentou defeitos 	 gostei do produto	0.5283208335737187	0.11362193664674995	0.16666666666666666
na primeira aparência achei que era falsificado porque não veio na caixa levei até uma ótica me confirmaram a originalidade do produto a loja relata que o fornecedor não está mandando mais na caixa do produto mas recomendo de qualquer modo 	original 	 produto ruim	0.0	0	0.0
com esse preço é melhor comprar um ar condicionado vcs sempre os preços a não ser que esse copo é de ouro 	e um bom produto 	 muito bom	0.1319049988210938	0.05501080739920602	0.13157894736842105
excelente produto entrega rápida e principalmente de uma marca confiável 	muito bom 	 excelente	0.0	0	0.0
gostei muito do livro e a entrega foi muito rápida 	excelente 	 excelente	0.0	0.1778279410038923	0.5
vou adquirir outras produtos bons que tem praticidade confiança e uma ótima entrega 	excelente meu desejo adquirido 	 ótimo produto	0.0	0	0.0
por ser de bioimpedância acredito que as vezes talvez por não estar com os pés perfeitamente acaba pesando de forma incorreta isso me deixa com dúvidas pois varia muito os pesos mostrados nela 	boa 	 gostei do produto	0.0	0	0.0
ótimo produto e chegou dentro do prazo excelente preço recomendo 	produto top 	 ótimo produto	0.5	0.1495348781221221	0.25
além do preço do frete ser um absurdo demora mais de dois meses pra chegar 	ainda não chegou 	 não é original	0.5283208335737187	0.11362193664674995	0.16666666666666666
o kit conversor antena aquário é muito bom e diante do exposto eu poderia recomendar se houvesse alguma consulta 	conversor kit 	 frágil	0.0	0	0.0
maravilhoso minha mãe adorou um ótimo presente pra dar no dia das mães 	perfeito 	 excelente	0.0	0	0.0
produto som muito bom e bluetooth funciona muito bem vale a pena 	como eu esperava 	 bom	0.0	0	0.0
aparelho e acessórios em ótimas condições porem a câmera a foto sai escura já deixei no máximo de brilho e não resolveu percebi também que quando os dados moveis esta ligado a bateria não dura tanto 	bom 	 não gostei do produto	0.0	0	0.0
simplesmente ameiiiiii entrega super rápida e antes do prazo estimado 	perfeito 	 excelente	0.0	0	0.0
não recebi este produto o que está acontecendo que não consigo contado com as partes envolvidas já tomei providencias para o cancelamento do pagamento 	não recebi este produto 	 não recebi o produto	1.5	0.1880301546543197	0.6388888888888888
adoreiiiii tapete de qualidade e com o preço bom 	elogio 	 bom custo benefício	0.0	0	0.0
ele faz ao que se propoe minha filha adorou recomendo a todos 	ótimo produto 	 excelente	0.0	0	0.0
gostei do produto e recomendo para qu quiser comprar 	gostei 	 muito bom	0.0	0	0.0
comprei com a voltagem incorreta e estou tentando devolver a mais de dias e não recebo o código de reembolso 	horrível 	 produto errado	0.0	0	0.0
produto excelente super recomendo superou as expectativas chegou bem antes do prazo estipulado 	suporte p notebook c cooler gamer ac 	 excelente	0.0	0	0.0
produto comprado para uso na empresa todos gostaram 	excelente 	 muito bom	0.0	0	0.0
ótimo produto para quem quer ganhar dinheiro extra revendendo 	muito bom 	 ótimo custo benefício	0.0	0	0.0
bota muito linda a forma e bem grande poderia ter pego um numero menor e uma perna veio mais apertada que a outra mais nada que não possa resolver 	bota linda 	 gostei muito do produto	0.0	0	0.0
uso todos os dias estou gostando bastante nada a reclamar 	excelente lavadora 	 gostei do produto	0.0	0	0.0
ótima bolsa muito espaçosa e prática para o dia a dia nas saídas com o bebê 	produto de qualidade 	 excelente	0.0	0	0.0
muito bom produto dentro do esperado segue certinho a descrição e funções 	ótimo produto recomento 	 gostei muito do produto	0.3962406251802891	0.08034284189446518	0.16129032258064518
o produto é muito bom vale super a pena efetuar a compra o site também é maravilhoso e o produto ainda chegou antes do esperado maravilhosoo 	amei o produto 	 produto excelente	0.39624062518028896	0.09069748827745895	0.17241379310344826
a parte da frente que tem o unicórnio veio faltando a peça simplesmente não estava dentro da embalagem como pode ser resolvido esse problema absurdo o presente de natal da minha filha 	veio peça faltando 	 não gostei do produto	0.0	0	0.0
não recebi até agora me estipularam um prazo de até e hoje são e não obtive uma resposta já estou pagando a segunda parcela de algo que não tenho 	não gostei 	 não recebi o produto	0.25	0.08034284189446518	0.22727272727272727
estilo praticidade e versatilidade acho que e descrevem bem 	muito bom 	 livro muito bom	0.6666666666666666	0.24028114141347542	0.8928571428571429
excelente produto adorei serviu certinho para meu filho 	excelente 	 excelente	0.0	0.1778279410038923	0.5
quebrou uma pecinha que segura a lâmina poderiam ter reforçado essa parte do produto 	frágil 	 não é o produto de uso	0.0	0	0.0
achei muito frágil e a borracha que reveste o suporte da mão tem um cheiro horrível 	não gostei 	 não é o produto	0.25	0.08034284189446518	0.22727272727272727
produto muito bom silencioso e de fácil instalação 	muito bom 	 ótimo produto	0.0	0	0.0
vocês estão de brincadeira não foi entregue meu produto 	meu produto não foi entregue 	 não recebi o produto	0.9411192833107858	0.07440995947486906	0.20408163265306123
não chegou e estou tentando reembolso mas nao respondem meus e mails vou aciona los judicialmente 	não chegou 	 não recebi o produto	0.25	0.08034284189446518	0.22727272727272727
ferro de passar com preço interessante de design de bom gosto e muito bom em sua performance 	bonito e eficiente 	 ótimo custo benefício	0.0	0	0.0
muito bom fácil de montar bebe vai usar até uns anos e meio vale a pena 	muito bom 	 muito bom	1.0	0.316227766016838	0.9375
satisfeita chegou antes do tempo programado produto lacrado tudo certo 	satisfeita 	 gostei muito do produto	0.0	0	0.0
indico a todos com duvida de sim ou nao para a sua compra 	mais que bom maravilhoso 	 frete	0.0	0	0.0
a cadeirinha ficou perfeita no carro confortável e segura minha filha adorou e principalmente por ter onde ela segurar tamanho ficou muito bom tbm pra ela por ser ajustável 	super recomendo 	 excelente	0.0	0	0.0
produto veio errado do que eu comprei mas entrei em contato com a empresa fornecedora e já me enviaram a correta no mais tudo muito bom 	bom produto 	 produto errado	0.5	0.1495348781221221	0.25
desde que recebi infelizmente não fiz uso estou acamada assim que melhorar irei fazer uso estou avaliando a marca philco o contratempo é assistência técnica que só tem no do rio 		 bom			
produto veio com defeito foi acionado o fabricante para substituição ou reparo sem retorno até o presente infelizmente 	produto com defeito 	 produto com defeito	1.5849625007211563	0.5623413251903491	0.9814814814814815
ótimo celular não trava excelente memória muito rápido 	ótimo celular 	 excelente	0.0	0	0.0
atendeu super bem as minhas necessidades ótimo produto 	muito bom 	 ótimo produto	0.0	0	0.0
não funcionou no iphone no iphone plus nem no iphone x 	não funcionou 	 propaganda enganosa	0.0	0	0.0
produto ótimo recomendo para todos pode experimentar 	gostei muito 	 excelente	0.0	0	0.0
vocês estão brincando com aminha cara até hoje não recebi nada e querem que eu avalie o que 	meu produto não chegou 	 não recebi o produto	1.0	0.09554427922043669	0.25
este produto é importado e a assistência técnica não é do brasil melhor comprar a versão que é nacional 	produto importado 	 frete de ouro	0.0	0	0.0
a chapinha não esquenta direito é fraca e demora muito para finalizar o cabelo por conta dela não esquenta direito 	não gostei do produto 	 não é o produto de uso	0.6666666666666666	0.048549177170732344	0.2380952380952381
a única pena é que vem muito pouco rsrsrs preciso comprar mais 	era o que eu queria 	 ótimo produto	0.0	0	0.0
recomendo para todos as lojas americanas amo fazer compras pelo aplicativo só falta uma coisa poder adquirir o cartão americanas 	chegou na hora certa um produto de qualidade 	 excelente	0.0	0	0.0
super rápido e excelente produto entrega chegou antes 	otima qualidade 	 excelente	0.0	0	0.0
amei a entrega de vocês prevista para ser final de dezembro não levou dias parabéns 	entrega super rapida 	 produto excelente	0.0	0	0.0
no site esta falando que tem de desconto para produtos vendido e entrega pela americanas so que quando colocamos o cupom na hora da compra fala que o cupom não vale pra compra sendo que a tv é vendida e entregue por voces 	enganacao 	 não gostei	0.0	0	0.0
estou entrar em contato com a americanas para poder me passar a assistencia tecnica e ate agora nada 	pessimo 	 não recebi o produto	0.0	0	0.0
essas panelas são maravilhosas são caras mas vale a pena o que não vale a pena é pagar um frete absurdo desses fico revoltada com isso seria o segundo conjunto de panelas que eu compraria mas o lascado do frete me impede super frustrada 	panelas maravilhosas 	 não gostei	0.0	0	0.0
produto mto bom imagem boa e chegou antes da data prevista 	produto maravilhoso 	 gostei muito do produto	0.25	0.08034284189446518	0.22727272727272727
a entrega foi rápida o produto veio corretamente e sim eu recomendo 	ótimo 	 gostei muito do produto	0.0	0	0.0
produto funcionando muito bem mas por enquanto so foi testado 	produto funcionando muito bem 	 bom	0.0	0	0.0
